msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
28CPWdSiIvxnZiPH9/t4jyVX0bvt2IW1nN8swlRwecw=,37,30,149,149,1,2017-01-16,2017-02-18,0
28CPWdSiIvxnZiPH9/t4jyVX0bvt2IW1nN8swlRwecw=,37,30,149,149,1,2017-02-16,2017-03-18,0
2K9WU+gtovPSk4x/J0sHLXGATVZJguBTSvdsv0AjbjQ=,39,31,149,149,1,2015-01-31,2015-03-05,0
2S5sLtKWwSYYToVrMAOFU0to055jOBs73ap/USNrcNE=,41,30,129,129,1,2016-03-19,2016-04-19,0
2S5sLtKWwSYYToVrMAOFU0to055jOBs73ap/USNrcNE=,41,30,149,119,1,2015-07-31,2016-04-27,0
2rTlVCD3ubrk82ZIqOE9bCqJWxg0I+5gmg6lssExaPg=,41,30,149,149,1,2015-07-03,2015-08-03,0
2uOQBnuzKfwcP8qrEFHE9k0xJtH4QmnxZ4nQ8pOveOY=,37,30,149,149,1,2016-05-15,2016-06-14,0
2uOQBnuzKfwcP8qrEFHE9k0xJtH4QmnxZ4nQ8pOveOY=,37,30,149,149,1,2016-06-15,2016-07-14,0
2uOQBnuzKfwcP8qrEFHE9k0xJtH4QmnxZ4nQ8pOveOY=,37,30,149,149,1,2016-04-15,2016-05-14,0
2x1bJ0lMJLOe3G0SqDq6NuV8hTqB8y2cedP3YFxsfgQ=,41,30,129,129,1,2016-07-05,2016-08-06,0
2x1bJ0lMJLOe3G0SqDq6NuV8hTqB8y2cedP3YFxsfgQ=,41,30,129,129,1,2015-09-05,2015-10-06,0
2x1bJ0lMJLOe3G0SqDq6NuV8hTqB8y2cedP3YFxsfgQ=,41,30,99,99,1,2016-11-27,2016-12-27,0
2zdqR2h1X2f1rEWDGkLSuvZaR31vm7h1asQum+Prr1U=,34,0,0,149,1,2015-03-31,2015-04-30,0
31iYKYXW6zNI7FMb/q6OBZNarcmfXCv/yHL9b3D8Aa4=,41,30,99,99,1,2016-12-15,2017-01-15,0
3BSSRD4jaULZL2QG+lmIqBbswjsFvx1fAauTdj767GY=,38,30,149,149,0,2017-01-10,2017-02-09,0
3BSSRD4jaULZL2QG+lmIqBbswjsFvx1fAauTdj767GY=,38,30,149,149,0,2016-06-11,2016-07-11,0
3BsOGmc0CG7n3Bd6sCTBzWGPP+qsnB616H8snK3mV1s=,40,30,149,149,1,2016-01-05,2016-02-04,0
3UDKY4Qe9DjazKZk8KjqBS0n4myBH5KO1NmD5Jteeng=,41,30,99,99,1,2016-08-24,2016-09-25,0
3bVIj0VkEH+NGWsntNcr4sbpwA4TozztNycokxWNb5U=,23,30,149,149,1,2017-02-28,2017-03-31,0
3hRn4LhZ4ezKtIppzEMm712Od1toD4Cujgp6dEiAwVQ=,41,30,149,149,1,2017-02-10,2017-03-10,0
3wKGoqKV0SCL5L2jM/lys92LPzJP8ngf0kbRKIQmfv4=,41,30,99,99,1,2016-02-12,2016-03-12,0
3wKGoqKV0SCL5L2jM/lys92LPzJP8ngf0kbRKIQmfv4=,41,30,99,99,1,2016-03-12,2016-04-12,0
3x4uLajm30JLnenzCvsCRC5Vp+zXqKFhgMQ9LStxXd4=,40,30,149,149,1,2015-09-05,2015-10-14,0
3ymstTBbv7Ni5t6d+4u7U5PXMQCH+pKKfCvvWfyB17g=,41,30,149,149,1,2017-02-19,2017-03-19,0
3zSXk9ZBpkiK84nTxLkKUk6woV8lQCKbIMR2i/2Tg20=,41,30,129,129,1,2016-04-03,2016-05-03,0
41grvXgdb1zM4R7CoPs5N85P4My3CYb/RCzdBPiGceo=,38,30,149,149,0,2016-04-25,2016-05-25,0
42QB5V/ajsNMiQ0V/3vjuQhvrGmHsx5htRggxebGDGk=,38,30,149,149,0,2016-04-04,2016-05-04,0
42rIorrA761JCPNWBe2B99F2vJ9INrr5S7Mcdir1CCY=,41,30,99,99,1,2016-12-01,2017-01-01,0
46WqmqyL17TFLDtfiQ+au/8OsMowEuB7OaTSdGt+X3Y=,41,30,99,99,1,2017-02-14,2017-03-14,0
4SZBmxLz3PVAaViPNVnj4WoMobEjbRyZqXERh9eTuVc=,39,30,149,149,1,2016-11-30,2017-01-03,0
4Vl8NBSknbUQdpZ+2U4gxoGZOMP+tlK6QoswRQwe+Pg=,41,30,149,149,1,2015-12-01,2016-01-03,0
4WNsls3Ibvf6n0zIkSQdGd/MGW5zF9hK6h3V6JcXuWM=,41,30,149,149,1,2016-06-30,2016-07-31,0
4Xfpm0vGAcy+vaIJlNi8IGRZy3kCWQcfkfeslpFtg7U=,41,30,99,99,1,2016-03-25,2016-04-25,0
4XhUMm+xciRwgDxu/4GtVRMsY+NF4Tp0zTAOsTZAfzg=,41,30,100,100,1,2017-02-12,2017-03-12,0
4b0hIACF89ALDliJRaOrpvSCFET9kabQfmpmt5oMjAY=,41,30,99,99,1,2016-07-31,2016-08-31,0
4g5lljYRmsv3hoUGgnHyyoAODb9pTqfqiIhAq19Hkyk=,34,30,149,149,1,2015-11-30,2015-12-31,0
4gczHCl8o90musTr+fdkoZ1PoP4ims8TCtxkS0BJnfE=,36,30,150,150,0,2015-08-04,2015-09-03,0
4gczHCl8o90musTr+fdkoZ1PoP4ims8TCtxkS0BJnfE=,36,30,180,180,1,2016-08-12,2016-09-11,0
4gczHCl8o90musTr+fdkoZ1PoP4ims8TCtxkS0BJnfE=,36,30,180,180,1,2016-05-12,2016-06-11,0
4qmfqxYbl06wUrfEZKoBFSO+989acDnC23wZOOnf6Nw=,41,30,149,149,1,2016-07-27,2016-08-27,0
4wWkYb2fcqTAj/D+7YlOgOJxD8C/bGsI948ytRXmS9o=,37,30,149,149,1,2015-08-07,2015-09-09,0
4wWkYb2fcqTAj/D+7YlOgOJxD8C/bGsI948ytRXmS9o=,37,30,149,149,1,2016-12-07,2017-01-09,0
4wWkYb2fcqTAj/D+7YlOgOJxD8C/bGsI948ytRXmS9o=,39,30,149,149,1,2015-07-08,2015-08-09,1
517cHn1Cog0mpN4blw/iEBbBeDCmhBNGXkqUWSQm7WY=,41,30,149,149,1,2016-06-30,2016-07-31,0
5CHjaC3ibSvEcAgEo77M0vqKzAYpfJuqxC7a/EKqbSk=,41,30,129,129,1,2015-12-31,2016-02-01,0
5CHjaC3ibSvEcAgEo77M0vqKzAYpfJuqxC7a/EKqbSk=,41,30,129,129,1,2015-07-31,2015-09-01,0
5PxV+UUu4XupXn1aXj2lQgGberwcSgr0m8Zt7jO7hGY=,34,0,0,149,1,2015-07-31,2015-08-31,0
5XriIxPGUtVKe96NEaTekjEo3SbD8jwdOFL7Jn8Zmbw=,41,30,149,149,1,2016-09-21,2016-10-21,0
5nwk1uOCoNbBOh2DrrEBXrUdcRzV6y7211MEhGvzg88=,34,30,149,149,1,2016-01-31,2016-02-29,0
5nwk1uOCoNbBOh2DrrEBXrUdcRzV6y7211MEhGvzg88=,34,30,149,149,1,2016-06-30,2016-07-31,0
5tAKnCbVbN3iXprzs8XJKHzNEBL5vJIjnHaVC9XVANc=,41,30,149,149,1,2015-06-27,2015-07-27,0
5tAKnCbVbN3iXprzs8XJKHzNEBL5vJIjnHaVC9XVANc=,41,30,149,149,1,2015-01-27,2015-02-27,0
688dONVPKQmLlnTzOLgfsRue4YUs8VyqfCw+BXudwzg=,41,30,99,99,1,2016-11-30,2016-12-31,0
688dONVPKQmLlnTzOLgfsRue4YUs8VyqfCw+BXudwzg=,41,30,99,99,1,2016-12-31,2017-01-31,0
68qdesp6ZzHc43hLELlxoKclQEpmG1j+p4XqeCXMhfk=,41,30,149,149,1,2016-04-08,2016-05-09,0
6UVNHIZWQLOHM9Gle0zrYSdMn9pa+RU6+WyTimN9uCQ=,40,30,149,149,1,2016-02-17,2016-03-16,0
6UVNHIZWQLOHM9Gle0zrYSdMn9pa+RU6+WyTimN9uCQ=,40,30,149,149,1,2015-09-17,2015-10-16,0
6XFOTMJtuaQA639RefFzR6LYy8jjZUjGjxUYGG4uDGA=,41,30,149,149,1,2015-02-07,2015-03-08,0
6aytNOVpeZMoFqu47Cctvw5DmkydvxwTXvsQeOJlXvo=,41,30,99,99,1,2016-11-19,2016-12-19,0
6xSLjj55xKPirUi7LQFn3mWSAGohBVUTrDQSjuuPgFw=,41,30,149,149,1,2015-06-07,2016-03-06,0
6xSLjj55xKPirUi7LQFn3mWSAGohBVUTrDQSjuuPgFw=,41,30,149,149,1,2015-10-08,2016-12-07,0
6xSLjj55xKPirUi7LQFn3mWSAGohBVUTrDQSjuuPgFw=,35,7,0,0,0,2015-12-29,2016-01-12,0
7FJBJ2ysxyTFFiAi6ZbbnTfLfY9+OTyGoU4SvQdCAnk=,41,30,99,99,1,2016-12-27,2017-01-27,0
7kUGN2y3Q143+gLRBGgeOcYnE1LXcYV5NrAL/J/hacc=,39,30,149,149,1,2016-07-31,2016-09-17,0
7kUGN2y3Q143+gLRBGgeOcYnE1LXcYV5NrAL/J/hacc=,39,30,149,149,1,2016-08-31,2016-10-17,0
7kUGN2y3Q143+gLRBGgeOcYnE1LXcYV5NrAL/J/hacc=,39,30,149,149,1,2016-01-31,2016-03-17,0
7rYNshCXR3mkI6c/EnvWLMBTOIBVY93I4SowgFSo1TM=,38,30,149,149,0,2016-03-16,2016-04-15,0
7uiyAlCozfpqbnuDcts6PtOjzX13N3vnoAq8zhfaK60=,36,30,180,180,1,2016-11-29,2017-01-07,0
83e22AWL7UATYQ3EyS7WQok5nPxgF8LbawIVBSSjvAw=,41,30,99,99,1,2016-12-23,2017-01-23,0
86cKVXcTwfDEam7BEip402lmEJf9LRsVYChj9QcDApM=,40,30,149,149,1,2015-05-28,2015-06-27,0
87cQeuhrTycanfnhwiRR3b4PXNcuwoBpNU3T8OT46B8=,41,30,99,99,1,2016-12-12,2017-01-12,0
8B1y853+tEti0pKXqbClAdoBZgQJW7NQabITozqfbPY=,41,30,99,99,1,2016-10-31,2016-11-30,0
8B1y853+tEti0pKXqbClAdoBZgQJW7NQabITozqfbPY=,41,30,99,99,1,2016-07-31,2016-08-31,0
8Cei7Y5z1l8h4yhLKrjgzRjsLdBgMd9JjOGPC26AYWE=,41,30,129,129,1,2016-08-01,2016-09-01,0
8Cei7Y5z1l8h4yhLKrjgzRjsLdBgMd9JjOGPC26AYWE=,41,30,129,129,1,2017-01-01,2017-02-01,0
8UeUe0vSYYyReyZ0p7eQsmd405xt1Oq0w98nlx3ZZTI=,41,30,149,149,1,2017-02-01,2017-03-01,0
8YTZA7hpa6f/pfdlXC1R+MSmFJiW0L5PW642vtb45Lk=,41,30,129,129,1,2016-04-27,2016-05-28,0
8YTZA7hpa6f/pfdlXC1R+MSmFJiW0L5PW642vtb45Lk=,41,30,129,129,1,2015-01-27,2015-02-28,0
8dc52+zvmxCvLptVxqm9/f/6CaZII15q/nz2E1YK3sI=,41,30,99,99,1,2017-02-16,2017-03-16,0
8gMvl28V8n53pUSze9GsuK4eRTcBofYhouUWosqYw50=,29,30,180,180,0,2017-01-19,2017-02-18,0
95cYLu672EawpRggbyVNEASFBMJl2ImPrKamRIVPhx8=,41,30,149,149,1,2016-02-27,2016-03-28,0
95cYLu672EawpRggbyVNEASFBMJl2ImPrKamRIVPhx8=,41,30,149,149,1,2015-01-27,2015-02-28,0
97nVb/TTLWmyXd9OK+dk3ZWOOcKPQKFEGepfQhBtjzQ=,41,30,99,99,1,2016-07-20,2016-08-20,0
9CAoH6rnagB5k8EH9iFpuJ2HAmW1Gt1bNzgu+DCY+uw=,41,30,99,99,1,2017-02-14,2017-03-14,0
9Hmgei7WuPlwN+TS79/S+KY9K3Io+LLuHqNCAJqS5hY=,41,30,99,99,1,2016-05-01,2016-06-01,0
9WkQfVrf+7CpKHuODQZJA3omBliXKVnll58GY/UVySQ=,41,30,99,99,1,2016-10-13,2016-11-13,0
9XXi1k4JbkG5ORxaAnjXgJt+6GE/EJyYbE1Nr+1xBOg=,41,30,99,99,1,2016-07-04,2016-08-04,0
9j2Hb4TcOQe1vPTQ+Pjojn/gzfCsaE2APaXYtiWO8qw=,41,30,99,99,1,2016-02-29,2016-03-31,0
9odVjA6lR/sg/iDNm06f0nCh58SdMSJUV7nODE0IKiI=,41,30,149,149,1,2016-06-22,2016-07-22,0
9pC90DUjK4f0qzc3XNTdDbhE4vaQsaIsKlDDU7p4YSo=,36,30,180,180,0,2017-01-23,2017-02-22,0
9pC90DUjK4f0qzc3XNTdDbhE4vaQsaIsKlDDU7p4YSo=,37,0,0,149,1,2015-05-05,2015-05-05,1
9pFQ/FjmXeS27gN8odl8O6n+xO6md/vCU7M3txRg7Qs=,39,30,149,149,1,2016-11-30,2017-01-27,0
9qPnjypwx7g1EFumpt6ZRqxZVQDT8vCAAU0wRPRmJZE=,41,30,149,149,1,2015-12-21,2016-01-21,0
9qPnjypwx7g1EFumpt6ZRqxZVQDT8vCAAU0wRPRmJZE=,41,30,149,149,1,2015-10-21,2015-11-21,0
9qPnjypwx7g1EFumpt6ZRqxZVQDT8vCAAU0wRPRmJZE=,41,30,149,149,1,2016-04-21,2016-05-21,0
9qPnjypwx7g1EFumpt6ZRqxZVQDT8vCAAU0wRPRmJZE=,41,30,149,149,1,2015-02-21,2015-03-21,0
9qPnjypwx7g1EFumpt6ZRqxZVQDT8vCAAU0wRPRmJZE=,41,30,149,149,1,2017-01-21,2017-02-21,0
9y4B+PddX7sstnG3HObAM5udI5uFuHsWTUj0vLh+p7s=,38,30,149,149,0,2015-06-14,2015-07-14,0
A0ABMrVDqzFmtog9udu75AXL0XqP2/Iblt7eWoQqqSs=,41,30,99,99,1,2016-12-04,2017-01-04,0
A1pi79pOsd8+ArIAnt7UHz8IIT7wRjiQpjaauXo4vAY=,41,30,149,149,1,2015-03-16,2015-08-14,0
A1pi79pOsd8+ArIAnt7UHz8IIT7wRjiQpjaauXo4vAY=,41,30,129,129,1,2016-09-20,2016-10-20,0
A1pi79pOsd8+ArIAnt7UHz8IIT7wRjiQpjaauXo4vAY=,41,30,149,149,1,2015-01-16,2015-04-18,0
A1pi79pOsd8+ArIAnt7UHz8IIT7wRjiQpjaauXo4vAY=,41,30,149,149,1,2015-11-16,2016-12-15,0
A1pi79pOsd8+ArIAnt7UHz8IIT7wRjiQpjaauXo4vAY=,41,30,149,149,1,2015-12-16,2017-02-14,0
A1pi79pOsd8+ArIAnt7UHz8IIT7wRjiQpjaauXo4vAY=,41,30,129,129,1,2016-08-20,2016-09-20,0
A1pi79pOsd8+ArIAnt7UHz8IIT7wRjiQpjaauXo4vAY=,41,30,149,149,1,2015-09-16,2016-08-15,0
A77ajF8y/jTvlr05uAqOK2QFSUD2L0kfysHm7wEYF3c=,41,30,99,99,1,2015-12-16,2016-01-17,0
AAmE3GREMldT+u8e5MklcWpKKDbMUQL6oC+Ai3V4kVk=,41,30,99,99,1,2017-01-26,2017-02-26,0
ACLIFeo5TXpfxN63FTE3MGOGhAyu8mQHe2KPWIoL2X8=,41,30,99,99,1,2015-10-04,2015-11-04,0
ACLIFeo5TXpfxN63FTE3MGOGhAyu8mQHe2KPWIoL2X8=,41,30,99,99,1,2015-12-04,2016-01-04,0
ACLIFeo5TXpfxN63FTE3MGOGhAyu8mQHe2KPWIoL2X8=,41,30,99,99,1,2016-05-04,2016-06-04,0
ARLOxqRcpiYRQDATiWYy/B+pJTVLfngLkza3tG9mQ4M=,33,30,149,149,1,2016-10-31,2016-11-30,0
AacwyeKmVb82gHaxbN/Fyt04Srp8v5pjBGRozpiAJ/s=,41,30,149,149,1,2016-07-15,2016-08-16,0
AacwyeKmVb82gHaxbN/Fyt04Srp8v5pjBGRozpiAJ/s=,41,30,149,149,1,2016-09-15,2016-10-16,0
AazGf7ebjsT1mkHqSodL4UdYo/up5rZ32uAdIab9Gy0=,40,30,149,149,1,2016-07-28,2016-08-27,0
AbovFYFwnSts1qka1qji+fBo4Jm5JaYf558FPG3Hj3I=,40,30,149,149,1,2017-02-01,2017-03-06,0
AyGUBzHQm53caMNFLUIAbVyLBfngFNuaSrgl2xdgvDQ=,41,0,0,149,1,2015-05-13,2015-06-13,0
Az8p1Y8WDRRGygkTZZ3L3B9U2HdqXPOjaydgKx9M4Ok=,38,30,149,149,0,2015-04-23,2015-05-25,0
Az8p1Y8WDRRGygkTZZ3L3B9U2HdqXPOjaydgKx9M4Ok=,38,30,149,149,0,2016-05-20,2016-06-21,0
Az8p1Y8WDRRGygkTZZ3L3B9U2HdqXPOjaydgKx9M4Ok=,38,30,149,149,0,2017-01-16,2017-02-16,0
Az8p1Y8WDRRGygkTZZ3L3B9U2HdqXPOjaydgKx9M4Ok=,38,30,149,149,0,2016-12-14,2017-01-17,0
B/FKJlGuE8VDzxAD7MPAwO4VZmfvl2za6DK26KseQsk=,41,30,149,149,1,2016-05-31,2016-06-30,0
B/FKJlGuE8VDzxAD7MPAwO4VZmfvl2za6DK26KseQsk=,41,30,149,149,1,2015-06-30,2015-07-31,0
B/FKJlGuE8VDzxAD7MPAwO4VZmfvl2za6DK26KseQsk=,41,30,149,149,1,2016-08-31,2016-09-30,0
B/FKJlGuE8VDzxAD7MPAwO4VZmfvl2za6DK26KseQsk=,41,30,149,149,1,2016-03-31,2016-04-30,0
B2OcQ3bIThNjnAJx8O8lfXFsrAzcPY/v/PYBgS3mIQg=,41,30,99,99,1,2016-12-02,2017-01-02,0
B9BcLggRjFuNb2OnoCvTjl8KnA02Bm7pIPNlDEzQz1o=,36,30,180,180,1,2016-05-11,2016-06-11,0
BOWulv9XUi0uhveljgiY9Hv9fqwf0c1LBrpxyCTQueg=,41,30,99,99,1,2017-01-27,2017-02-27,0
BOWulv9XUi0uhveljgiY9Hv9fqwf0c1LBrpxyCTQueg=,41,30,99,99,1,2016-10-27,2016-11-27,0
BhpT+OJ4sWyrh8hqFeqBnGHxd4Iqhx22oCFjlTRG/Ow=,41,30,99,99,1,2016-11-25,2016-12-25,0
BvFgAAeWWvoYJOfh97kGQRIWtgFRXlSPNS0WEdGr2Hc=,34,30,149,149,1,2016-04-30,2016-05-31,0
Bx0qDq+8eguRmbpbC0ibBA+aro6Lw7X4ONFMi6+KHsk=,41,30,99,99,1,2017-01-08,2017-02-08,0
BzMbdP5H7kG9CtqkAYYhcSJfLLOdKkHfvB+EzhAeXAo=,36,30,180,180,1,2017-01-29,2017-03-16,0
C1UxLxoDIOyKB5o36tP65jxd4WTXFfXJtseclYMMGFc=,41,30,99,99,1,2017-01-01,2017-02-01,0
C2VXJ1hoPaZD6+m9x9UWxG8jXmBHnK8RWIEpbdCXL5Y=,41,30,99,99,1,2017-02-09,2017-03-09,0
C75WxDA8z5FbP8RqSAWdR5MW6tvFnPspANYbwQAZBWM=,41,30,149,119,1,2015-01-14,2015-02-15,0
CDwHRU73hzq8WKbpmP4BG4EPkgmgYd0ATnPOEr3x1A8=,41,30,149,149,1,2016-08-09,2016-09-09,0
CDwHRU73hzq8WKbpmP4BG4EPkgmgYd0ATnPOEr3x1A8=,41,30,149,149,1,2016-03-09,2016-04-09,0
CIsPtG5+5pzDCX+JGh/hzg/CTOHTBxBHZGuzZX+bm+M=,41,30,149,149,1,2016-01-15,2016-02-15,0
CIsPtG5+5pzDCX+JGh/hzg/CTOHTBxBHZGuzZX+bm+M=,41,30,149,149,1,2016-09-15,2016-10-15,0
CM51bl0M4r8DSzZ0OQwm511nAF6egbfU3Ot3bPJNATM=,41,30,149,149,1,2015-11-24,2015-12-24,0
CV98Wv9kvT+xaVhKd8+kkb/AzgEPukSYs9KqB3uxOB8=,41,30,149,149,1,2017-02-28,2017-03-31,0
CdTXnuXmNiY7zuEj3fcnVFopi6VBf2EHvY//t/9xg1U=,41,30,99,99,1,2017-02-26,2017-03-26,0
CdTXnuXmNiY7zuEj3fcnVFopi6VBf2EHvY//t/9xg1U=,41,30,129,129,1,2016-06-01,2016-07-01,0
CmMByWv7LVgemujRHHvMJ+JDqgEEpKnESF0OX9Hw4f8=,37,30,149,149,1,2015-11-26,2015-12-26,0
CtNH0g1gjvwFrcdyNZ5CEvqA2EKpLoPvTxM4s0ZF1ko=,41,30,99,99,1,2016-10-12,2016-11-12,0
CtNH0g1gjvwFrcdyNZ5CEvqA2EKpLoPvTxM4s0ZF1ko=,41,30,99,99,1,2016-07-13,2016-08-12,0
CzO/GUoBd/tKlm5gsmKFGoC4jahmltfy+VWV5Sz9DMA=,38,30,149,149,0,2016-12-17,2017-01-16,0
CzO/GUoBd/tKlm5gsmKFGoC4jahmltfy+VWV5Sz9DMA=,38,30,149,149,0,2016-02-14,2016-03-15,0
D465ARUGSLy1XVWrtyphxZurHeOc0QoygJbdGO9y0Ms=,41,30,99,99,1,2016-01-18,2016-02-18,0
D4xnCP4inzGy0/Dh8tRVM9OZP0HiKy0cdZGRdw6htzw=,41,30,129,129,1,2016-08-14,2016-09-15,0
D8jpCEGkU/Yq7BSewzrdR+L9VojDHisLoKrjsPiQAlY=,41,30,149,149,1,2015-06-20,2015-07-20,0
DDTISDUAlsDRMiQK/0XYUsA7Qk+FoNUk044NTYDihoc=,38,30,149,149,0,2015-06-14,2015-07-14,0
DEJTnx3cyFu+b0h6/NlLCPc6Dl/9O27EYYRd9wSc/yY=,41,30,149,149,1,2017-02-09,2017-03-09,0
DHozEYaI0pViqgL0ww/yvNhQbkq8ZAt/MtcQE5bUXNI=,41,30,99,99,1,2016-10-13,2016-11-13,0
Dta442KneAVdGaohp5DxG4lkEE6mEFPhQMe5BkoT/vA=,41,30,99,99,1,2016-08-31,2016-09-30,0
DxAV5HVD1IpFhIoGSl3sJPeOfe5DSk2kPxYnBvclsBw=,38,30,149,149,0,2016-05-11,2016-06-10,0
DxHeYlWwbDWbeWOKW26WAFiYgpvnM5FediXIQJO1BOc=,41,30,149,149,1,2017-02-15,2017-03-16,0
DyzUtk5YAZaSxbK9LBSC5TD/t7ECYSiF9VPUKL0nadE=,41,30,129,129,1,2015-08-31,2015-09-30,0
DyzUtk5YAZaSxbK9LBSC5TD/t7ECYSiF9VPUKL0nadE=,41,30,149,149,1,2016-08-31,2016-09-30,0
E/aJgUd8R4GUp5sdJ7XAhKy687iWCBi2h3rlIax07ME=,37,30,149,149,1,2016-08-19,2016-09-18,0
E7wUQcE5en53ah2RSV6ansqY9WRRwUcdTl4ix4gp0tI=,41,30,99,99,1,2017-02-04,2017-03-04,0
EBv6fWsMt0T/YNlBX16JpuxqqrAav952wHsvkYO5ldc=,36,30,180,180,0,2016-09-28,2016-11-09,0
EVFfF9jTBdWevM6Ov4yt2BcKLh1DwKn4Ae1T9UAbUQc=,40,30,149,149,1,2017-02-01,2017-02-28,0
