msno,city,bd,gender,registered_via,registration_init_time
iA21u6iyu7taJXYhQ6MbkbJwwoa3amzg1JYw7tZBUdc=,1,0,,9,20161206
kOXcer+//oOLtOB6JLhxNqj/3YyTH2m+kWfvYTtMc7I=,1,0,,7,20160818
pUX9dgyaFkhfdp+IuFac7AJfc/eWv5ysvqxOdkdTuEg=,13,23,male,9,20090611
sZa3fgr0Sfh/RvjmTEmRR8Xuf/HFNhN1FF3gcAUasv8=,1,0,,7,20100630
uHfRkor0a7J9r7HWoOsD0vhPAws0jhlKYaQ0pgJH39U=,1,0,,7,20140304
zg62KT4CpRvebisu7dpHW7CcY8mWZknNqN89rmkWpnc=,5,37,male,9,20100710
+7FBvSUAwpI9nXTF7n33CrossTtESxfwNT42BNyBGFk=,6,0,,4,20151120
9pC90DUjK4f0qzc3XNTdDbhE4vaQsaIsKlDDU7p4YSo=,5,29,female,9,20090703
9pFQ/FjmXeS27gN8odl8O6n+xO6md/vCU7M3txRg7Qs=,17,46,female,9,20080726
9qPnjypwx7g1EFumpt6ZRqxZVQDT8vCAAU0wRPRmJZE=,1,0,female,7,20130414
A5sfh5qAExINTJVMrbAYN8iLmWfuxh+qXZhR4csL2jg=,15,19,male,3,20140202
G5ZUENj72POl6POOiLWd5L9M1IObSTjsq1MkVVeDBx0=,12,23,female,3,20130609
MWu9NlJxuO84QFawukHfTKyIMdMfeC0g0yrDsxFWokI=,1,0,,7,20110107
NkZfiSt9//ZJ80NhtR3QVo/7rCuGBy7a3umjfKMZz+A=,4,23,female,9,20150422
O80sFuxK0uYffvR3ocMBpUdgu73xBuuO7dPWLNdTAlc=,5,20,male,7,20130802
OtQ15zNJRj0TP/QxhaI8U+NVPtPP9csPobTrrplxFSU=,4,41,male,9,20090323
RcT3lJQg/vMbxdc829LnFyN48KcBbAIs5tGvytvGwZg=,15,30,,9,20150712
RyGzT/7kdxpJl17VFVlgPcqXVzQ9Bq0TfbZSxd/L/f4=,1,0,,7,20151112
VIY0s2Z6BvbCWIlWBZc8oZazip6Ke4Xm72AG7flO4to=,1,0,,7,20161127
WL3T47m49FiQRh1Zn+sicqDEfGSKhOZwqz2RQ7mROBQ=,1,0,,7,20130809
ccODpmwfgSBxrILvsbKgDzie4n1JcxeYZxzmH+22rO0=,1,0,,7,20140608
fh3wEvh/eJKfoBJLbBZWWcv54/tbWbzegQwNcEGT6SY=,1,0,,7,20110617
kiLQHjHZxFygzfGm1zc1MIbHNhluAXiU9FenTAxEClE=,22,27,female,7,20140514
pferkuQd2UwdlcmON1ZLdlnWycAx2SUrYi3gHOMzPW0=,3,31,female,9,20091112
tziJYKl9I5dy1uO9wumIYmSw4NWfA2WImMWCa7M8nUw=,15,23,male,9,20080309
2XOdJjoFh0zU1jZ8WxaMdfpLh6MvIOAmYGakmqAx6ZQ=,5,0,,3,20140508
5nwk1uOCoNbBOh2DrrEBXrUdcRzV6y7211MEhGvzg88=,13,25,female,3,20120524
88hx7g9TrxEeuoV7jfhyXY//rtND+hT/Gvx6Y5lBDHo=,1,0,,7,20140226
9Cvt8wFKwALRdHVL27wvqsyUp6nYOw+yiNqT+S3B0qM=,1,0,,4,20160609
C75WxDA8z5FbP8RqSAWdR5MW6tvFnPspANYbwQAZBWM=,9,34,male,7,20110131
Gjfmad/iPXCIEFyAfRd9/enFvbNnV/wx+wPMf8Nt7Vc=,6,20,female,9,20140615
INOfoYjWG4EKocq8rDZoA61jfVgnKhrOoB6e1eZU/kc=,1,0,,7,20110610
JKgwVaIFaAXkIwOfNyXFK7oVMPZ2jLmW1RuaG6ENHsU=,1,0,,7,20130613
JpDNY/QplUwHdxh0BCRolA46J72N/BO3usTMdmQ8h54=,4,30,female,9,20140817
KlBSGSBDF/+RTJa0KD0Ixuey91K9r9gO5yVdEr9DXTk=,1,0,,7,20160205
STfMmPD0WhXvVv2krv6y35KTTtWWTDYO888TeHxm1ys=,1,0,,7,20140225
Z8aaDD4OA/R66dVXaIBkhCWEdIdUQgqcR3sffiHY87o=,1,0,,7,20140118
qVBiYW67lHlD2p45NbsLx3Z+orKDDMic0SMYdMXM3Do=,1,0,,7,20140626
rXHFs4vgO44TRJwzVu/gXi5I1ED2rqBorm2a0ImI81s=,15,28,male,9,20121014
1956+eQJbBscYgGz7zbVZffPcROgI26dA7JrAaCv/Kw=,12,22,male,3,20120829
28CPWdSiIvxnZiPH9/t4jyVX0bvt2IW1nN8swlRwecw=,5,30,male,9,20100513
4wWkYb2fcqTAj/D+7YlOgOJxD8C/bGsI948ytRXmS9o=,18,26,female,9,20090515
C1UxLxoDIOyKB5o36tP65jxd4WTXFfXJtseclYMMGFc=,13,45,female,7,20140525
K38gsWRzAE5hVA9y8HrL5KJfVs9KhqYuiHc0ORyhqCU=,1,0,,7,20130910
PXlpvOJpl5q4rqGvM0l+0/CTFQQJ9PYbN9BY6kcxj/c=,15,19,female,9,20101010
RO2NSyfwjlmhelquiZhzVJ+7S9lnzvuuGd2aODXQ99E=,1,0,,9,20140630
RSfjfo9S9UFGNN1AplFqSdYdykccUbICVJuG9ToXOdA=,1,0,,7,20160401
S4JJt3snMvZvqnn2gh05IahwpwZzwcm49DVs3jLvvgE=,5,23,male,3,20141209
Tfak1IEM+jICD06eNQrSolDhGgZzzStklmcJr5f62as=,14,20,female,7,20140615
WItXEOiTwuJgcz9odgxGBPkyqeiRJLbN0D0XDAJQ/4g=,1,0,,7,20160325
fbP8jY+Wcoc31FNRERpwKMJryXPiJDyHA+iJExo6fUQ=,15,46,female,9,20100403
setEfMuas4USNx2E6PYdFoPSENIuCUjt/LLIgqG4ZtI=,13,0,female,9,20050922
uGK4R0bIXNRV07+hn/OUFvgC3O/Z2MOuKGBPk6eIMD8=,4,0,female,7,20141110
yBfkkNXwHUaFJy/pTw48XLpnR3/MgYkTm2IuLKgWSvw=,12,27,male,9,20080722
+1gZIOUWoNTamOml4W87muAxOcXrFsY1fvLpnHYwIt0=,1,0,,7,20140207
CM51bl0M4r8DSzZ0OQwm511nAF6egbfU3Ot3bPJNATM=,1,0,,7,20100427
CmMByWv7LVgemujRHHvMJ+JDqgEEpKnESF0OX9Hw4f8=,5,46,female,9,20071123
CzO/GUoBd/tKlm5gsmKFGoC4jahmltfy+VWV5Sz9DMA=,1,0,,9,20141213
FirbGxhnX14jG07i7b5sc/9QwkKTw+/XQ95B81sTRqo=,12,24,female,9,20110917
OuLSU8EmGtqDkf6XkVUZMJmWqLA1HAb4MD8+dfO3cd0=,1,0,,7,20110826
YPTTURq5yyiSg1Ngcrg7fyZ+CRCwrX72h9kcGjdqRDs=,1,0,,7,20150807
o+PtS02jziBQWt1VvpwHlPHseor1PvBCjxmvopqvF/s=,17,21,male,4,20151205
qKs4+x398hQ1i88sempbetM+/28G9Qv6Oror0gTLE8o=,1,0,,7,20131031
vITlgNL7bxTfT118iQHHS+hpjC6CR6LhG92B1DQp6Qw=,5,35,male,7,20110620
/olKUTsndeEoXJJTKggUupHusCNqYVDXPfqsqzLPprk=,9,1053,female,9,20100205
9WkQfVrf+7CpKHuODQZJA3omBliXKVnll58GY/UVySQ=,1,0,,7,20150713
AazGf7ebjsT1mkHqSodL4UdYo/up5rZ32uAdIab9Gy0=,13,0,,3,20140619
CFaw438TuB9MCT+vyd0NpjeQPnJsY9ac/vTXsrQ9Dfw=,22,35,female,9,20051216
D4xnCP4inzGy0/Dh8tRVM9OZP0HiKy0cdZGRdw6htzw=,9,27,female,7,20110308
D8jpCEGkU/Yq7BSewzrdR+L9VojDHisLoKrjsPiQAlY=,1,0,,7,20140621
E9IBMUyco/sfgel9cHL0/ESTepC9lntzmFCpoWldsLQ=,13,29,female,9,20101213
LfeMboccW1JSDD3HnqB90Ic8PxKJrJRzwo/sbxc8cwk=,1,0,,7,20161210
PRNANQY25Ngn0xBN9qBpPJ/XEitnGBCD1V3XC40AcZ4=,9,20,male,9,20150716
QCo7sGl3W+W/HIS1Tj4scxsyb3ZYRqH4GG20VMzi26s=,1,0,,7,20140716
QrUQbl0J4rbLUp9bqtWNGR5r+Lli4MdiyF6lH2WKCJM=,6,25,male,9,20110610
Sb7HVTa/Q2HCIb63MZ2Gm36ciuaVTY/nF8IwOsFdIPA=,5,24,male,7,20110612
U0VMnkkPYZ3Ret1vZH72uFrxTNR4fTDXgmstoXEgH9U=,22,28,male,9,20101112
dY7SrNEF5GUNF2E6QEv1vpY7oRsYLhK0Sp8bxs5+z/A=,1,0,,7,20140623
hz7NL22EPBL/wfiSvxSTlPPmK+x3cAHpNCPdJDUsRzs=,18,26,male,3,20140607
pEzvLetbu8+pB9cYLSzVacKmyyJYAFzhSFtrnMrJPJU=,22,28,male,9,20070615
zI3KDrOBDA18jLeDWWeYBUZHWWHLw1znvQzJI8sBJmM=,15,39,female,9,20090514
+32d1JlIFi3ETwF7sZIGHYRHxdIqTRNj2CN0X/TruKU=,15,19,,7,20140512
68qdesp6ZzHc43hLELlxoKclQEpmG1j+p4XqeCXMhfk=,13,54,female,7,20100307
7MnYa7+Guv9gwpN0w92B2I5aIpRa/+C56Q6bexTkJN0=,22,34,male,9,20110509
ARLOxqRcpiYRQDATiWYy/B+pJTVLfngLkza3tG9mQ4M=,5,23,female,9,20110221
CBF0Gdn0zL4JpVGgTjCG01DAhyKGIp/XpA+uPOytumI=,1,0,,7,20140204
FCSD+HLvNQXYE857F3xW7f6u/aL+wwJqrPsqu9tSFwQ=,1,0,,7,20110111
Gr0UDy9jBWhncT+KsdRffj6TDVs3uJF5m+octzC33vw=,22,31,male,7,20120318
HdD+/6wYLbiGRf1xog3rw7wP90fFMjO5Z0l8XUcvvZU=,6,43,male,9,20140624
L+nz03V8wIgFrG9UPT/dNv4cMuUVTuw5vhccykyKJAA=,13,36,female,9,20070723
LlHJ1zai/zM0X6i9LQ4X/8I+O5Bm+L76xbYwxULk6SY=,1,0,,7,20131017
MAOy9oVH0IWfxRPUQj6K5NXtZuSGG+EB0nH8JyLMXgM=,13,33,female,9,20061124
OQpMJcNcQImrPSTeo/rErNltyMUS2v8l83/McQHN/78=,1,0,,7,20110121
TcQLAZPDqdK2Nrl4i0h9xJrnJBZka2xtDzmxJNK/+P0=,6,23,female,3,20120923
Uo0Im5b1Qh28JRNdnCxC1FUy4kTjL8NT3G7Fcvj1OV8=,1,0,,7,20161112
VZgaDEq3T1FWMNDG+AClX28/8rkCGgX1n3yrWrrBrcg=,5,29,male,9,20130111
YE2Es3C8BiFauV/xFE5kgAFY9Fed7ywss3/nWeSw8I8=,15,31,male,9,20070513
rVrT5wy0gixeMLkjZRhnVUM7PtgBv4MQvGyI8Tk64kk=,1,0,,3,20140208
su2rmKygAfLM0FXxqnaczz19xw6/P8UOhPOggaxkLm0=,5,20,female,9,20080211
w1mNisltlINDFQDZglLf3ramMcvoEzZ/DGZ9uD4AGkE=,18,23,female,9,20140925
xsRnZu8Ko4EYB/B7J7r0IjbKFS6+4nGPFZfwqc3MP9c=,15,50,male,7,20101223
y2Rc1KTTI4FjpuL1lUeijCYxl+4GeqgI/bjO8UvpnFE=,1,0,,7,20110819
zjTj1bgiI5hwkP9OYuS5Z1EFs+xEr12zfDsAp4b7Frc=,22,0,,9,20100827
+eELJ1gSSkwJItUOLgavd0hFy/TLj0RVrcaPgQunOPM=,14,0,,9,20141115
0K0fp7RjjQHaztDsLasT6ZeasPLwqDxdUaaaOzJp0GQ=,1,0,,7,20140410
4Xfpm0vGAcy+vaIJlNi8IGRZy3kCWQcfkfeslpFtg7U=,1,0,,7,20151225
4gczHCl8o90musTr+fdkoZ1PoP4ims8TCtxkS0BJnfE=,4,31,female,7,20120320
5XriIxPGUtVKe96NEaTekjEo3SbD8jwdOFL7Jn8Zmbw=,1,0,,7,20151021
5l5EzHeBeqme1+ctXLgbWj0GfcxkJzlwB1N56pxAwbQ=,18,18,female,3,20130803
9GXQextm7laDdL1yfEZiBFtxWS+s5Kfx+NUNiA0/oGo=,17,54,female,4,20160501
LYzXVzfvkildghcKz/fjUFejbSygTouqiPAkRBztyao=,15,27,male,7,20140504
NI2xCDS4Q6ZQbG1f/EpEubWwunZDq3bPW0JwBXGuatA=,1,0,,7,20110407
PqPDXZESbUZmTj2MIpEjrJobv5kT+35RYIkJtK/Bcwc=,1,0,,7,20130522
SPmq9R4KxLAUs7h2oEf6EyBVhIzlcKaIbjmOT/aXhTU=,17,39,female,9,20110524
Tx+AfucUzHBperYok3ZD7r/Asn4crklYYlgXj+SY0v4=,15,17,male,7,20160809
b2zZ1qBAfoZzF35QnzV6bPItRNsWnDnJPFTbIuDUgMA=,13,18,male,3,20161008
oNHOJRUL214uvf9a2O9pe9/yc0xmjQQGE9VwLwywfUY=,1,0,,7,20140726
s4gpA1vCTEH4JY6wfr2VjAALnMGWFOd/qsi+6cXqiTk=,13,43,female,9,20110308
u1yNJB+vQRRCGKXFUw1iSYpVu+NkjFrH7w95ohzyj2U=,6,27,male,9,20151113
vAd31BJwmYY82abawsoju55zcJRrrVK/tQ06bty+PDE=,5,0,,9,20111001
0DCjLpkPfeWI88rFIBBTwO7kIlnw75XKXY7No+qTqPs=,5,22,female,7,20160328
K0IGUkq4i/fCQ8tHKz5KimrcKJxWG2YSXZdHCDOHHGI=,22,33,female,9,20120124
Lf/ZFVJ3yjmGTwCAZ6LMG5jMP+srWfmVHs6FdEtJxKA=,15,38,male,3,20141123
Ml46pGla5EmJYhGt/AFynqWN+Yi47AKLV8K+5V5+fd8=,13,20,male,9,20140620
Q40ol912vqDx4FYr7IhgKmb9eML0kDMSSAYe2a/FUVQ=,14,33,female,3,20141210
R5SNzwXFgOAgg4IuV/9NbDFX5PeGtJp2YT8Fpiu+iNU=,1,0,,7,20100927
S+dfGYIniTqmj0AOnb3FJhv6ao9DO1q43GXVJscETPQ=,15,35,male,9,20051011
azbEJvoyDOrXVxtqS82sTIghdE3TrbJfRoVQED3/qnk=,1,0,,7,20140315
dER/IUQV4fUtAKTmjA4E1vRb8TayaTLxF7unXXcs6+0=,4,33,female,7,20101112
fO0kGpjKaAW5R3NBzllHpg2MqbMyaYb6Apl26AMaL0w=,13,25,male,9,20050419
nneggxHITTY9j0bZskcytPKENup1Pb6PO7F7g39VH2Q=,5,34,female,9,20041013
pA7d2owniZc2Qv9XlLBj2agjmPoz6GuUEDZaO/fvHAk=,1,0,,7,20160308
pIIxnVNhK04+KlsychNi1KNANk0O97y6yXIcpurnJpA=,1,0,,7,20111229
vSo3WGd1idoGqy8A8FptaQtbS3gpdCoHyy07e7FZMt8=,13,49,male,9,20040726
xD4t/xKMPktJzss0m9Yf0w0llpFy4+pnsyn0mB2HC8M=,1,0,,7,20150710
A1pi79pOsd8+ArIAnt7UHz8IIT7wRjiQpjaauXo4vAY=,1,0,,7,20130917
IP1zTvCoMnVjzILNT/KojdT9JBURDKP6h7hu7RZ900Y=,22,48,male,9,20110424
QTkJg1mFY9sCmQC9bGWriJ/2sU6pTNEnkMnTAkte61M=,1,0,,7,20150804
m2cBP76z+KmEWD6rYVuJK1YZo66QfkWedOQRXKWppKI=,1,0,,7,20140503
nUoxCVP05Yz4eYPtTdxPMn3rIesFpva/mfT4il64pHI=,3,29,male,9,20080518
0F6CUDwQHCMB25fpEqFsrnH9Oq8UoPDqKA0UFbzJTUI=,5,25,male,9,20090102
DDTISDUAlsDRMiQK/0XYUsA7Qk+FoNUk044NTYDihoc=,4,29,male,9,20140901
H8Umrr9JkMothMUSt3gV/r4FvlTrm8jRvdgNaTo8SXg=,1,0,,7,20151220
K/hR2ZgSElWoit7QmtDINlftZYZiUi5MAe2eu4rMimo=,15,25,male,3,20130910
OsvebVsGVE2iQN06K2PzYtI/el4oBjJWP/nUmRanKRI=,1,0,,7,20130222
PIXPIUS22db6ed5gCiaaDb2E7WVGq/TMl1mNtxXfQuI=,13,0,,3,20130725
RMj4OUUrr4cS4/Ztt57y80PRbpABPW3Tb3KoAb9uFN0=,1,0,,7,20100623
RZ+fSdOOsWOxcyMOs3Yli1pBO/XJzS595cowmSwSuhk=,4,29,female,9,20100822
TkklMKcpG9PTFxKDNse/VW2pdjgas5sOmWwL2P3Yxx0=,4,19,male,4,20161107
Us3bSfu9WuAlGAiZIc9eFsNPMbr0m2bAO4aEd5w4zDI=,1,0,,7,20140702
VAsRXcm8RlHtFJ3WbWoNwgO4knd8yjFdLNk6BkfH3Hk=,13,21,female,3,20140407
XY+Yu0h+sk0RAu0gkHYEEnm7ayzC0zbWVh5cvxG1V2w=,14,30,male,9,20060419
bChwxkxyob01xMy30qaBskL8n/UPql5Ulk9a+zecRWk=,15,33,female,9,20130809
fm4sL+mfCH/i2hpjhr36MY1LdoK7J9/IDaGkyYOHj10=,5,24,female,9,20070812
uAsO23JRTyEjXE30TEmnRX6owCoFjdsvipgLo5iYkGE=,1,0,,7,20160725
vmzd4h3g+to5TPFCA2nrb78ifT3Rm/jzJMKTXvkm4R4=,6,0,,9,20141212
yqJEdHqC5L79FCLKrCKQpRbTaV25agKwfdYqz/tRrdM=,1,0,,7,20140427
01tQaPlMxhIF7QCiMTPVTQWzg88k40m9bfy/ZMWCg6A=,6,28,female,9,20050926
0jaUI8vT/GDkiLY99flntz+kAqFoDYd6ZATxA8sAUpE=,1,15,,9,20141025
2eSpregKaPvPHfu/CbD6RtqrRVOsTU+F3s/lwhQEee0=,1,0,,7,20160512
8gMvl28V8n53pUSze9GsuK4eRTcBofYhouUWosqYw50=,1,17,male,4,20160503
EvCz1pJ3K1G8baSRz6Ts8cKKudSLgmXcsIVFHixOM24=,1,0,,7,20161202
HGkExdM/2rBj31A70D23Sm68jpW5ymhA5V0rJI+iijw=,15,46,female,7,20161220
LlPkKTOxJPuVKCS67azU7GPz7f1NXw7oTRgK4tSO/iQ=,13,24,,7,20141015
OH2ZXB62UiFqRa8vDJvgE9PL/Kmlz0jvnAL9rqBlSyU=,1,0,,9,20160201
Xl/vFzdWzjKfekibnbbhkqLZGhV7ixKD1FGdF1jH1Do=,22,0,,3,20121222
cCnGys6iL1bKZ4LO8IH6hOwFSZ3DZXWJ6d1GOU7z3Ok=,15,33,female,7,20151108
gbr8zvn/EliFm7ZHxIK27fASaFQDDp6C3JN9mTCnaNg=,1,0,,7,20100716
iNfXK2nICSuVxPbr0bcOKaI2N0AiAcqu0sLf8dKsweM=,1,0,,7,20151016
jOCtDBVaHeR2EJjvnrAyZlAc42+MWqHOtw46Hpop5oU=,13,26,male,9,20080513
jf3KFI1iMEcHBJKkILZv4kJrb/Xd6Cq7L3WvrOEaIXU=,1,0,,7,20150904
wQrh6KJUKv3CTfaVm1kCRl88ftkH3jkAHCkU2W4WoSw=,15,28,male,7,20151205
5PxV+UUu4XupXn1aXj2lQgGberwcSgr0m8Zt7jO7hGY=,14,42,male,9,20050402
E6Iir/4qF6CsKXhK3j5ufH0s1CknHDOOYyitu2isW68=,22,34,female,9,20100609
Hd6QpKf497ws8D7HW0RSALHrxZPkO4YXR1vADIwWf1o=,1,0,,7,20110822
KZZrMeL6syGlaShfNZJsPuBE4LXVykoVh5zE5DZHHoI=,13,37,male,7,20101222
Nd91DB99TPXNTow+q4X/G29LyQLLjfz63jZW5j6vCi4=,8,28,female,9,20160423
TgcNPbsZeZ8buEcnLqLok29Q+gX0klzE0LmOESRwjbU=,1,0,,7,20140303
UyM4O2+azrN3bqQD5KqQZQbaI7g7nfmKPo7RizwA+9k=,1,0,,7,20150313
XH5ceYZZ5f9aYg4UlUOjvwbQqeQmZ4/Y1ty30mPiPFc=,8,29,male,3,20120803
cTl84JVwE6CiInMmTijR7Mlv5CVqVvnK2YEyjzrhSeE=,1,0,,7,20160321
e64JSZO/EeYX3zc45GTeUyhvgex9dLBGypgXxuOwVJM=,5,26,female,9,20110429
vh69xpuiyh9KoSYz+G8ouVDiqzgVudaSf3NJVss+qhk=,1,0,,7,20111217
31iYKYXW6zNI7FMb/q6OBZNarcmfXCv/yHL9b3D8Aa4=,1,0,,7,20160716
5TnTIdgWZRN1HzHTBqHLtG8j8zfYFiinmo+LqeCk+BU=,13,32,male,9,20140913
7KZW08zpRHq+kAK763OB7vdCLv/Y8/avh6TzgwF/C3o=,1,0,,4,20151126
ASw9obIZbYQiH7bb9vlGJEK5W8p9Gd1HiaTo3hv9Fj0=,13,27,male,9,20131215
DxHeYlWwbDWbeWOKW26WAFiYgpvnM5FediXIQJO1BOc=,1,0,,7,20101015
EJqCqjeGmuVwQ+vLTGPNQhDcWuF9s7Fkg4jlxWqqxmQ=,1,0,,7,20110218
HW61Mx9fi1jmzpif1FLZXKCmWULEV0c0OvMezWvQwmE=,22,19,male,4,20151204
I1AT9lMkI9PFduVdmqpzvHTDNLANDcKUiTErseVmlec=,1,0,,7,20131027
J9nunCeGqqLRE/+PJd5x/IMxLK4ScNQu8nBqE7BDbZI=,1,0,,7,20160706
Rdo+b+zGAVfWudNJvg61ahzJS1BX+RY0FfX8mWa0VZ8=,1,0,,7,20140213
SEefVTvIGZTkIpWvzQLZlwQTp1mVqAP3AwsR9PgJLv4=,5,22,female,9,20120408
SNZyP2XlKpy9XfzBbPdEW/7M1tc1C0eZl5VX0s+x3Lc=,13,52,male,9,20120116
WU+Ho3Cxzf60rgkgs8si9D+PzOJkQpxkDeW7HleeHOI=,1,0,,7,20161017
Xd5/XGnHPP7RVOKILQm3TJXE+Q2en8ypKNmFJMc1rA4=,3,37,male,3,20140328
Z+RCe3VQ1wVvcWc+NkoS5WOjm+NBaO2tDe/6OmqtaXE=,22,23,male,9,20100327
cTWJf4DJ7glxRtLbQzfhh5xjUoSQ4UKxs4GLqUf9GCA=,1,0,,7,20130114
exNQThzR3DVKByeJk64Uy6rVSxK36FdkmgJBJxJRdCw=,8,35,female,9,20110618
l1J3xlBYWR5w1SD5vNEEVAGycZ6TB4NTkBPmPjf6XRs=,1,0,,7,20151109
na21vA65q+dH6ehPcZpU6RoiU3sycMqLIdrGpyqzDJE=,13,0,female,4,20160121
/OrkK+agRQCMhB2GK3KctomRLGCQuWxUqw9ml1eQNog=,11,22,male,9,20090401
2K9WU+gtovPSk4x/J0sHLXGATVZJguBTSvdsv0AjbjQ=,14,23,female,9,20140205
3BsOGmc0CG7n3Bd6sCTBzWGPP+qsnB616H8snK3mV1s=,14,29,male,9,20101128
86cKVXcTwfDEam7BEip402lmEJf9LRsVYChj9QcDApM=,15,41,male,9,20070417
DkPwxRm8ZkuXFUDZnu0K2d7/fpcvMiKz85K+8V2f900=,1,0,,4,20160121
JvEkS6dCr/d7aFAh65uKfXHxuLs0nLwPjovq+gp6Gj8=,1,0,,7,20140719
O5vtoLGFApCh2nbZDYXvzlxfCszpLh9XsX1DSXZZ584=,1,0,,7,20160331
Ot3xdrqD+ZpKVLK76cRBV3wvrHHFTHLq/97SOFdS5OI=,22,30,female,7,20110921
TDV7H5pB1oFJWFlJRAoQJFac/8j5Ik/cXv6QeWUdJRo=,1,0,,7,20160806
b5k4Gli+QMW4EnYG9Yd1iYOxp/ORYnhEgbi83y+v0w0=,6,21,female,9,20120702
in9s3WtP9yx2JwXq1SxDqM9D3xSGQo3fu5FUU5Bj0v4=,1,0,,7,20120430
rt+I+cFqSfUQUvspoi1C1OXbYT9jQt5tDyfl9F7HNfY=,8,31,male,9,20120925
s86VbkdGUM5S/YymNeBDu89aFK+/eGcoZfvrJqBgIvI=,13,25,male,9,20111226
s8XoNsWsKm8HUAoYN2DzjD4phOuXMtwcjpAQ3+nTpa8=,8,31,male,9,20090315
up+DI58F5HYlVdJ0C+r23MjmNXuXCONeQf4klqR1ySE=,5,34,male,9,20060627
vCAvcwyO9u/oHqlfntbs+mGcDXWp8mBnZQr50oaMvoE=,1,0,,7,20101229
vr5rlAPv0vwZsnZIB3R45bdNmn5Bj8N4krKu4BJKCjY=,14,38,female,9,20051127
2zdqR2h1X2f1rEWDGkLSuvZaR31vm7h1asQum+Prr1U=,5,40,male,9,20101130
4S0856f6+Wy9328ol91uM7qKALWDH6ON4Z7gEa5vaQo=,22,28,male,7,20130703
7vE9qXAn7f3OljQBVXHPXnUSZByhq2rMMCPlTU6fxdQ=,1,0,,3,20130625
EVFfF9jTBdWevM6Ov4yt2BcKLh1DwKn4Ae1T9UAbUQc=,10,0,,9,20160429
GZMYW1cbALBDAUAAT7SisZys9pxcnwOZUrVGY2/mu7w=,1,0,,7,20160424
NobHyuJBgow+tTuC8qL7eHP+WonZPTOgPyYiNZ8R178=,13,30,male,9,20081101
RGuc6Nbd8ImNn6gIeFOrC9pJWv3Q9spFHGRrO49zAjc=,1,0,,7,20151217
UGW8NgeW9oKKeE8Hr9Lc3L04K7QjVxMJUSxtKxXSFjg=,5,32,male,9,20070618
WQzxI3Jki4g4YsLJ8JIhO/NH27jwa6ykmqXD9RgWMLA=,1,0,,7,20131211
